,id,food_id,nutrient_id,amount,min,max,median
423,2221304,321900,1103,1.6,1.4,1.7,1.7
424,2221309,321900,1129,0.0,0.0,0.0,0.0
425,2221303,321900,1095,0.42,0.39,0.49,0.42
426,2221294,321900,1271,0.0,0.0,0.0,0.0
427,2221318,321900,1108,0.0,0.0,0.0,0.0
428,2221270,321900,1269,0.017,0.011,0.023,0.017
429,2221266,321900,1265,0.029,0.021,0.037,0.029
430,2221316,321900,1003,2.57,1.54,3.55,2.57
431,2221358,321900,1063,1.4,,,
432,2221286,321900,1213,0.129,0.115,0.14,0.13
433,2221352,321900,1123,745.0,431.0,948.0,776.0
434,2221287,321900,1214,0.135,0.124,0.14,0.138
435,2221273,321900,1264,0.001,0.0,0.001,0.001
436,2221271,321900,1270,0.021,0.012,0.031,0.021
437,2221296,321900,1004,0.34,0.23,0.41,0.34
438,2221322,321900,1090,21.0,16.1,26.5,21.0
439,2221362,321900,2009,0.0,,,
440,2221341,321900,1224,0.542,0.405,0.73,0.517
441,2221264,321900,1292,0.011,,,
442,2221330,321900,1162,53.3,3.3,105.0,42.4
443,2221365,321900,2016,0.017,,,
444,2221340,321900,1222,0.104,0.087,0.12,0.104
445,2221353,321900,1084,2.4,2.0,2.7,2.5
446,2221361,321900,1315,0.01,,,
447,2221356,321900,1117,0.0,0.0,0.0,0.0
448,2221345,321900,1185,102.0,76.6,136.0,98.7
449,2221331,321900,1165,0.077,0.055,0.103,0.074
450,2221268,321900,1267,0.002,0.001,0.003,0.002
451,2221324,321900,1093,36.0,25.0,51.0,37.0
452,2221346,321900,1263,0.0,0.0,0.0,0.0
453,2221289,321900,1219,0.125,0.112,0.14,0.124
454,2221369,321900,2026,0.0,,,
455,2221312,321900,1175,0.191,0.104,0.3,0.195
456,2221347,321900,1177,65.0,15.0,182.0,45.0
457,2221278,321900,1005,6.29,,,
458,2221283,321900,1325,0.0,0.0,0.0,0.0
459,2221281,321900,1313,0.0,0.0,0.0,0.0
460,2223016,322228,1280,0.0,0.0,0.001,0.0
461,2223028,322228,1108,0.0,0.0,0.0,0.0
462,2222972,322228,1062,179.0,,,
463,2223081,322228,1194,3.0,2.4,3.7,2.9
464,2223099,322228,2026,0.0,,,
465,2222993,322228,1218,0.167,0.14,0.21,0.16
466,2223054,322228,1414,0.0,0.0,0.0,0.0
467,2222955,322228,1165,0.057,0.046,0.071,0.056
468,2222964,322228,1103,2.1,0.0,4.2,3.1
469,2223037,322228,1087,126.0,111.0,143.0,127.0
470,2222952,322228,1101,0.0,0.0,0.003,0.0
471,2222983,322228,1213,0.342,0.29,0.44,0.33
472,2223060,322228,1305,0.0,0.0,0.0,0.0
473,2222999,322228,1011,0.0,0.0,0.0,0.0
474,2223009,322228,1129,0.0,0.0,0.0,0.0
475,2223070,322228,1257,0.036,0.01,0.05,0.04
476,2222998,322228,1010,0.0,0.0,0.0,0.0
477,2222973,322228,1106,58.0,,,
478,2222963,322228,1175,0.06,0.054,0.069,0.061
479,2223073,322228,2032,0.0,0.0,0.0,0.0
480,2223069,322228,2005,0.0,0.0,0.0,0.0
481,2222986,322228,1221,0.099,0.09,0.12,0.1
482,2223049,322228,2019,0.0,0.0,0.0,0.0
483,2223098,322228,2025,0.0,,,
484,2223023,322228,1272,0.0,0.0,0.0,0.0
485,2222971,322228,1198,0.9,0.6,1.6,0.8
486,2223006,322228,1125,0.0,0.0,0.0,0.0
487,2223063,322228,1411,0.0,0.0,0.0,0.0
488,2223025,322228,1012,0.0,0.0,0.0,0.0
489,2222991,322228,1215,0.092,0.08,0.12,0.09
